layer_name,num_row,num_zero,num_total
conv1,33,1649,2304
conv2,77,1470,2304
conv1,60,1296,2304
conv2,52,1357,2304
conv1,71,1053,2304
conv2,67,1491,2304
conv2,115,4147,9216
conv1,145,4556,9216
conv2,153,3952,9216
conv1,195,3561,9216
conv2,140,4145,9216
conv2,344,14159,36864
conv1,374,14353,36864
conv2,310,14250,36864
conv1,364,14935,36864
conv2,363,16308,36864
